iter	Passed	Remaining
282	14245	237444
283	14296	237405
284	14346	237349
285	14397	237299
286	14447	237247
287	14496	237183
288	14547	237131
289	14597	237085
290	14652	237116
291	14701	237044
292	14751	236984
293	14802	236933
294	14852	236881
295	14902	236827
296	14951	236758
297	14999	236671
298	15049	236609
299	15099	236552
300	15149	236504
301	15199	236448
302	15249	236390
303	15299	236337
304	15351	236311
305	15402	236271
306	15451	236195
307	15500	236129
308	15549	236061
309	15602	236052
310	15653	236011
311	15704	235968
312	15754	235911
313	15805	235878
314	15857	235844
315	15907	235794
316	15958	235747
317	16007	235688
318	16056	235615
319	16107	235574
320	16142	235291
321	16192	235242
322	16243	235204
323	16293	235146
324	16349	235178
325	16416	235371
326	16466	235316
327	16523	235353
328	16572	235293
329	16624	235256
330	16674	235199
331	16725	235165
332	16778	235143
333	16827	235087
334	16877	235027
335	16928	234981
336	16979	234946
337	17030	234894
338	17079	234831
339	17129	234770
340	17208	235110
341	17260	235081
342	17314	235088
343	17363	235017
344	17413	234956
345	17463	234905
346	17514	234857
347	17564	234800
348	17612	234720
349	17661	234640
350	17711	234584
351	17760	234518
352	17810	234467
353	17858	234385
354	17908	234321
355	17959	234274
356	18010	234234
357	18060	234178
358	18109	234106
359	18157	234026
360	18206	233962
361	18256	233910
362	18307	233862
363	18357	233804
364	18411	233796
365	18461	233743
366	18504	233598
367	18553	233532
368	18613	233601
369	18662	233532
370	18711	233467
371	18762	233424
372	18813	233380
373	18863	233323
374	18911	233243
375	18968	233270
376	19023	233277
377	19075	233244
378	19125	233193
379	19173	233113
380	19230	233139
381	19280	233085
382	19333	233060
383	19383	233006
384	19433	232944
385	19483	232889
386	19532	232827
387	19583	232776
388	19634	232738
389	19683	232673
390	19733	232612
391	19783	232551
392	19835	232518
393	19885	232465
394	19935	232409
395	19983	232337
396	20033	232274
397	20082	232206
398	20138	232225
399	20189	232175
400	20237	232105
401	20288	232051
402	20338	232001
403	20390	231963
404	20439	231899
405	20488	231832
406	20536	231760
407	20588	231717
408	20638	231668
409	20689	231616
410	20739	231568
411	20792	231547
412	20842	231488
413	20893	231440
414	20942	231380
415	20992	231322
416	21041	231254
417	21090	231191
418	21156	231311
419	21203	231217
420	21250	231128
421	21297	231038
422	21345	230962
423	21413	231101
424	21478	231211
425	21529	231161
426	21597	231295
427	21648	231250
428	21699	231204
429	21750	231157
430	21798	231089
431	21849	231034
432	21899	230976
433	21956	230994
434	22006	230942
435	22056	230888
436	22105	230821
437	22156	230776
438	22207	230723
439	22257	230670
440	22307	230611
441	22357	230554
442	22407	230498
443	22465	230522
444	22515	230469
445	22565	230414
446	22613	230337
447	22669	230339
448	22718	230271
449	22768	230211
450	22818	230156
451	22867	230095
452	22917	230033
453	22967	229974
454	23017	229919
455	23066	229855
456	23116	229796
457	23165	229734
458	23215	229673
459	23264	229613
460	23315	229561
461	23365	229505
462	23414	229438
463	23463	229376
464	23514	229333
465	23564	229269
466	23614	229219
467	23663	229152
468	23712	229085
469	23761	229024
470	23811	228964
471	23861	228910
472	23910	228844
473	23960	228790
474	24009	228723
475	24059	228669
476	24110	228624
477	24161	228573
478	24211	228517
479	24261	228460
480	24312	228413
481	24362	228362
482	24411	228298
483	24460	228229
484	24509	228167
485	24558	228098
486	24606	228025
487	24655	227963
488	24705	227906
489	24754	227839
490	24803	227778
491	24853	227723
492	24903	227670
493	24955	227629
494	25006	227581
495	25054	227514
496	25104	227457
497	25155	227405
498	25205	227351
499	25254	227291
500	25303	227228
501	25356	227198
502	25408	227157
503	25458	227101
504	25507	227043
505	25556	226976
506	25606	226920
507	25656	226866
508	25706	226813
509	25756	226759
510	25806	226707
511	25855	226639
512	25905	226584
513	25955	226532
514	26006	226479
515	26056	226425
516	26103	226352
517	26152	226286
518	26202	226233
519	26252	226174
520	26304	226138
521	26352	226064
522	26403	226019
523	26470	226107
524	26523	226082
525	26575	226039
526	26629	226018
527	26676	225945
528	26728	225901
529	26777	225841
530	26828	225791
531	26877	225728
532	26927	225672
533	26976	225613
534	27028	225570
535	27078	225517
536	27128	225462
537	27193	225534
538	27243	225475
539	27295	225440
540	27345	225385
541	27405	225415
